data,target
Congratulations ur awarded either £500 of CD gift vouchers & Free entry 2 our £100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16,spam
For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,spam
Are you unique enough? Find out from 30th August. www.areyouunique.co.uk,spam
WINNER! As a valued network customer you hvae been selected to receive a £900 reward! To collect call 09061701444. Valid 24 hours only. ACL03530150PM,spam
Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max ,spam
This is the 2nd time we have tried to contact u. U have won the £1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm,spam
Urgent Ur £500 guaranteed award is still unclaimed! Call 09066368327 NOW closingdate04/09/02 claimcode M39M51 £1.50pmmorefrommobile2Bremoved-MobyPOBox734LS27YF,spam
83039 62735=£450 UK Break AccommodationVouchers terms & conditions apply. 2 claim you mustprovide your claim number which is 15541 ,spam
You have an important customer service announcement from PREMIER. Call FREEPHONE 0800 542 0578 now!,spam
You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,spam
Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed £1000 cash or £5000 prize!,spam
You are a winner U have been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
Is xy in ur car when u picking me up?,ham
We not leaving yet. Ok lor then we go elsewhere n eat. U thk...,ham
Taka lor. Wat time u wan 2 come n look 4 us?,ham
Xy trying smth now. U eat already? We havent...,ham
Then u go back urself lor...,ham
Thanx but my birthday is over already.,ham
Yup i thk so until e shop closes lor.,ham
Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,ham
We not watching movie already. Xy wants 2 shop so i'm shopping w her now.,ham
I'm going 2 orchard now laready me reaching soon. U reaching?,ham
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham
Aiyah u did ok already lar. E nydc at wheellock?,ham
I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,ham
I tot u reach liao. He said t-shirt.,ham
U reach orchard already? U wan 2 go buy tickets first?,ham
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham
Havent planning to buy later. I check already lido only got 530 show in e afternoon. U finish work already?,ham
Is xy going 4 e lunch?,ham
I'm going 4 lunch now wif my family then aft dat i go str 2 orchard lor.,ham
Play w computer? Aiyah i tok 2 u lor?,ham
Ha... Both of us doing e same thing. But i got tv 2 watch. U can thk of where 2 go tonight or u already haf smth in mind...,ham
Sitting ard nothing to do lor. U leh busy w work?,ham
Ok lor.,ham
My sis is catching e show in e afternoon so i'm not watching w her. So c u wan 2 watch today or tmr lor.,ham
Then dun wear jeans lor...,ham
